customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Age,SatisfactionScore,NumSupportTickets,LatePaymentsCount,AvgDownloadGB,AvgUploadGB,ContractRenews,DiscountApplied,AppLoginsPerMonth,IsMultiProduct,EstimatedIncome
CUST-00029,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,42,1,2,1,101.83,3.82,2,15,6,1,71651.5
CUST-00030,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,66,1,0,0,22.93,32.85,1,0,5,1,34589.56
CUST-00031,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,44,2,0,0,42.94,8.63,0,0,10,1,25252.39
CUST-00032,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,59,2,1,0,72.99,23.5,2,10,8,1,66373.85
CUST-00033,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,45,1,2,0,89.74,16.09,2,5,14,0,73906.24
CUST-00034,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,33,5,2,2,35.61,14.61,4,0,15,1,88603.76
CUST-00035,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,32,2,0,0,114.03,34.95,1,5,26,1,35910.14
CUST-00036,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,64,4,1,1,86.2,38.97,0,20,1,1,25534.88
CUST-00037,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,68,4,0,1,30.03,16.08,4,5,26,1,97744.1
CUST-00038,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,61,5,0,1,88.46,25.98,0,5,10,1,18401.05
CUST-00039,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,69,2,4,2,85.08,22.7,0,20,25,1,50375.28
CUST-00040,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,20,4,1,0,91.56,4.0,0,20,5,1,56938.83
CUST-00041,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,54,2,0,0,110.33,2.61,3,0,11,1,75413.43
CUST-00042,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,68,2,0,1,86.85,31.16,2,10,25,0,83957.6
CUST-00043,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,24,4,0,1,45.47,16.39,2,15,28,1,62397.18
CUST-00044,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,38,1,0,0,95.91,13.0,4,20,25,1,17453.89
CUST-00045,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,26,4,1,0,85.02,39.44,0,20,4,1,99842.56
CUST-00046,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,56,5,3,1,71.04,4.32,0,15,24,1,69381.92
CUST-00047,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,35,3,1,0,45.69,11.49,2,5,17,1,85684.16
CUST-00048,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,21,4,0,2,110.92,34.42,0,20,11,1,50238.18
CUST-00049,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,42,2,0,0,63.97,17.18,0,15,7,1,19439.47
CUST-00050,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,31,2,2,1,77.23,23.79,0,0,22,1,22027.65
CUST-00051,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,67,4,0,1,52.77,2.89,1,10,0,1,80543.01
CUST-00052,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,26,3,1,1,94.79,36.89,1,20,2,1,33064.63
CUST-00053,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,43,4,1,0,44.22,6.34,1,15,3,1,87787.54
CUST-00054,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,19,3,1,1,98.22,9.32,4,20,7,1,36452.35
CUST-00055,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,37,3,1,1,17.41,7.12,0,5,17,1,37030.83
CUST-00056,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,45,5,2,1,86.53,20.4,1,20,7,1,23318.3
CUST-00057,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,64,2,6,0,59.84,32.86,1,20,1,1,26938.55
CUST-00058,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,24,2,6,0,85.36,11.41,3,5,11,0,25810.19
CUST-00059,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,61,3,5,0,66.11,6.55,4,20,18,1,18584.92
CUST-00060,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,25,2,1,0,20.45,16.99,1,5,7,1,35128.55
CUST-00061,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,64,1,2,1,59.85,39.28,1,15,26,1,16911.3
CUST-00062,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,52,3,0,0,115.92,1.43,1,10,8,0,74798.71
CUST-00063,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,31,2,4,1,91.81,20.66,3,10,27,1,67382.33
CUST-00064,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,34,1,1,0,39.52,27.11,3,15,20,1,29635.81
CUST-00065,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,53,5,1,0,113.57,32.46,4,0,19,1,88283.72
CUST-00066,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,67,2,2,2,94.58,30.1,0,0,14,1,39282.0
CUST-00067,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,57,1,1,2,46.91,3.9,0,10,18,1,60532.59
CUST-00068,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,21,4,1,2,74.41,19.01,4,15,14,0,83936.89
CUST-00069,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,19,4,0,1,54.07,4.07,0,20,29,1,46379.52
CUST-00070,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,23,1,1,1,16.12,25.17,2,15,18,1,36338.53
CUST-00071,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,59,3,2,2,97.69,4.0,0,5,8,0,88157.06
CUST-00072,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,21,3,0,1,26.97,2.89,3,15,19,1,21294.89
CUST-00073,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,46,2,2,2,57.67,12.94,3,0,17,0,70287.18
CUST-00074,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,35,4,3,0,85.8,37.61,1,20,15,1,86286.29
CUST-00075,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,43,3,3,2,112.2,28.69,3,20,12,1,75365.55
CUST-00076,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,61,3,1,1,12.21,1.16,2,10,27,1,46810.88
CUST-00077,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,51,4,3,0,50.22,12.1,2,5,29,1,95819.16
CUST-00078,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,27,5,2,0,75.68,1.68,2,20,14,1,26547.1
CUST-00079,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,53,3,0,1,94.62,12.48,1,10,28,0,75480.04
CUST-00080,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,31,1,1,0,110.91,27.73,0,20,19,1,76036.87
CUST-00081,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,48,2,2,2,5.06,30.63,1,0,18,0,67049.5
CUST-00082,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,65,3,3,0,77.19,32.36,3,20,29,1,56277.73
CUST-00083,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,32,3,2,0,5.8,36.49,2,0,14,1,95946.47
CUST-00084,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,25,5,1,0,95.53,15.27,1,15,4,0,54640.01
CUST-00085,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,31,1,0,0,22.21,34.64,1,0,3,1,43313.09
CUST-00086,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,40,2,2,1,107.88,29.38,2,0,17,1,58767.78
CUST-00087,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,57,3,4,1,22.84,21.97,4,0,13,0,83079.3
CUST-00088,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,38,2,0,0,92.9,38.23,2,20,26,0,28856.21
CUST-00089,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,33,4,2,0,38.27,37.96,4,5,9,0,46492.86
CUST-00090,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,62,3,1,0,69.08,36.01,2,0,0,1,63081.56
CUST-00091,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,35,3,0,1,74.97,8.89,0,10,16,1,86659.11
CUST-00092,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,64,4,4,0,28.78,9.11,4,20,0,1,49028.31
CUST-00093,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,41,5,0,0,39.35,36.14,4,5,18,1,61791.2
CUST-00094,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,43,3,2,0,17.36,16.52,1,5,14,1,25411.22
CUST-00095,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,42,2,2,1,5.61,32.1,4,20,1,1,22999.6
CUST-00096,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,62,1,2,0,32.54,27.79,3,10,3,1,33139.61
CUST-00097,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,58,2,2,0,64.34,30.73,1,15,2,0,73279.28
CUST-00098,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,46,5,3,1,87.06,2.02,1,20,22,0,33030.35
CUST-00099,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,32,1,0,2,96.26,17.77,0,5,7,1,89573.36
CUST-00100,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,62,2,1,1,13.02,34.43,1,15,27,0,91393.47
CUST-00101,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,18,2,1,0,36.33,20.11,1,5,10,0,37564.53
CUST-00102,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,42,4,1,0,93.58,27.92,3,0,20,1,23947.48
CUST-00103,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,24,5,1,2,60.3,30.48,1,15,5,0,49959.88
CUST-00104,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,26,4,2,0,25.95,5.71,4,20,29,1,82464.2
CUST-00105,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,41,1,0,0,50.1,7.07,0,20,22,0,24167.25
CUST-00106,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,18,4,0,0,36.05,29.26,3,10,8,1,23435.43
CUST-00107,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,61,5,2,2,10.83,3.13,2,15,16,0,35802.37
CUST-00108,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,25,3,1,1,92.82,14.33,2,10,14,1,73878.87
CUST-00109,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,41,3,3,1,38.54,36.81,2,20,12,0,46818.46
CUST-00110,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,28,1,1,0,113.69,23.4,3,10,14,1,77620.32
CUST-00111,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,68,3,2,1,107.13,36.51,2,15,17,1,49407.9
CUST-00112,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,34,4,4,0,87.37,13.07,4,20,16,1,21718.17
CUST-00113,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,25,1,1,0,42.56,25.83,2,5,8,1,99877.76
CUST-00114,Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,52,5,0,2,37.19,12.18,2,20,1,0,72889.73
CUST-00115,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,52,1,2,0,59.66,5.33,0,10,17,1,68657.37
CUST-00116,Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,50,1,4,0,45.78,39.64,2,10,20,0,56951.4
CUST-00117,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,22,2,1,2,108.63,7.87,2,20,8,1,22066.51
CUST-00118,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,59,2,1,0,19.2,8.35,1,0,28,0,98740.88
CUST-00119,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,56,1,2,1,88.31,33.83,4,0,18,1,54590.23
CUST-00120,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,58,3,1,1,75.25,32.29,3,0,9,1,18514.46
CUST-00121,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,45,2,2,2,97.72,39.14,0,5,13,0,44177.21
CUST-00122,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,24,5,1,1,67.39,3.8,3,5,23,1,17797.65
CUST-00123,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,No,26,4,2,1,77.4,4.67,2,5,25,1,58076.25
CUST-00124,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No,25,2,1,0,115.72,18.5,1,20,0,0,79098.44
