ID,Severity,Weather_Condition,Sunrise_Sunset,start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal
A-14889,2,Mostly Cloudy,Night,20,11,3,29.583333333333332,0.01,62.6,10.0,0,0,0,1,0,0,0
A-88643,2,Partly Cloudy,Day,15,8,3,75.0,0.0,91.0,10.0,0,0,0,0,0,0,0
A-94899,3,Clear,Night,20,9,4,45.0,0.0,75.2,10.0,0,0,0,0,0,0,0
A-92738,2,Clear,Day,17,8,4,45.0,0.0,77.0,10.0,0,0,0,0,0,0,0
A-29131,2,Clear,Day,13,8,0,45.0,0.0,70.0,10.0,0,0,0,0,0,0,0
A-79029,3,Clear,Night,20,9,3,44.65,0.0,62.6,8.0,0,0,0,0,0,0,0
A-84943,2,Clear,Day,15,10,1,44.68333333333333,0.01,72.0,10.0,0,0,0,0,0,0,0
A-16822,2,Overcast,Day,10,11,1,29.633333333333333,0.01,63.0,10.0,1,0,1,0,0,0,1
A-36734,2,Mostly Cloudy,Night,4,4,4,60.0,0.01,50.0,7.0,0,0,0,0,0,0,0
A-15603,3,Mostly Cloudy,Night,20,11,0,29.516666666666666,0.01,64.9,10.0,0,0,0,0,0,0,0
A-28534,2,Haze,Day,10,8,2,45.0,0.0,68.0,6.0,0,0,0,0,0,0,0
A-69776,3,Clear,Day,13,11,6,44.38333333333333,0.01,75.9,10.0,0,0,0,0,0,0,0
A-11406,3,Overcast,Day,11,1,1,44.483333333333334,0.01,39.2,1.8,0,0,0,0,0,0,0
A-96859,3,Clear,Night,22,9,4,45.0,0.0,71.6,10.0,0,0,0,0,0,0,0
A-16131,3,Mostly Cloudy,Day,11,11,3,29.55,0.01,71.1,9.0,0,0,0,0,0,0,0
A-19793,3,Scattered Clouds,Day,13,9,1,30.0,0.0,70.0,10.0,0,0,0,0,0,0,0
A-89584,3,Clear,Night,2,8,0,60.0,0.0,66.9,9.0,0,0,0,0,0,0,0
A-40164,3,Clear,Day,11,5,4,30.0,0.01,66.9,10.0,0,0,0,0,0,0,0
A-31777,3,Clear,Night,3,3,0,60.0,0.01,50.0,10.0,0,0,1,0,0,0,1
A-25331,2,Clear,Day,12,10,2,74.58333333333333,0.01,62.6,10.0,0,0,0,0,0,0,1
A-79163,2,Scattered Clouds,Day,12,9,4,44.68333333333333,0.0,73.0,7.0,0,0,0,0,0,0,0
A-51686,3,Clear,Night,0,7,2,60.0,0.0,75.2,10.0,0,0,0,0,0,0,0
A-75505,3,Overcast,Day,15,11,6,44.7,0.01,61.0,10.0,0,0,0,0,0,0,0
A-4728,2,Clear,Day,15,7,4,45.0,0.0,99.0,10.0,0,0,0,0,0,0,0
A-85205,3,Clear,Day,12,10,2,44.416666666666664,0.01,78.1,10.0,0,0,0,0,0,0,0
A-35796,2,Mostly Cloudy,Day,16,4,4,75.0,0.01,62.1,10.0,0,0,0,0,0,0,0
A-12257,3,Light Rain,Night,23,1,6,29.633333333333333,0.01,46.0,10.0,0,0,0,0,0,0,0
A-35719,2,Light Rain,Day,11,4,4,30.0,0.01,60.1,10.0,0,0,0,0,0,1,0
A-70558,3,Clear,Day,13,11,2,44.68333333333333,0.01,91.0,10.0,0,0,0,0,0,0,0
A-54375,3,Scattered Clouds,Day,12,12,1,29.783333333333335,0.01,62.1,10.0,0,0,0,0,0,0,0
A-39692,3,Overcast,Night,21,5,0,40.43333333333333,0.01,60.1,10.0,0,0,0,0,0,0,0
A-93709,3,Clear,Day,12,8,1,34.38333333333333,0.0,79.0,9.0,0,0,0,0,0,0,0
A-73698,3,Partly Cloudy,Night,0,11,0,29.583333333333332,0.01,55.4,10.0,0,0,0,0,0,0,0
A-98077,3,Overcast,Night,20,3,6,30.0,0.01,60.1,10.0,0,0,0,0,0,0,0
A-576,2,Overcast,Day,8,3,3,30.0,0.01,59.2,10.0,0,0,0,1,0,0,0
A-84617,3,Mostly Cloudy,Day,12,10,0,28.983333333333334,0.01,75.9,10.0,0,0,0,0,0,0,0
A-61770,3,Light Rain,Night,21,1,1,44.43333333333333,0.01,59.0,8.0,0,0,0,0,0,0,0
A-32261,2,Clear,Night,20,3,2,46.53333333333333,0.0,53.6,10.0,0,0,0,0,0,0,0
A-82206,2,Fair,Day,8,10,4,51.61666666666667,0.0,74.0,10.0,0,0,0,0,0,0,0
A-36291,3,Overcast,Night,20,4,1,45.0,0.01,55.0,10.0,0,0,0,0,0,0,0
A-78456,2,Overcast,Day,17,9,1,44.71666666666667,0.0,82.0,10.0,0,0,0,0,0,0,0
A-60056,2,Overcast,Night,23,12,5,30.0,0.01,48.2,10.0,0,0,0,0,0,0,0
A-45949,3,Partly Cloudy,Day,10,7,5,90.0,0.0,72.0,9.0,0,0,0,0,0,0,0
A-28178,2,Clear,Night,21,8,6,45.0,0.0,69.8,10.0,0,0,0,0,0,0,0
A-84470,3,Mostly Cloudy,Day,8,10,0,35.15,0.01,66.9,10.0,0,0,0,0,0,0,0
A-579,3,Mostly Cloudy,Day,9,3,3,30.0,0.01,59.0,10.0,0,0,0,0,0,0,0
A-30960,2,Partly Cloudy,Night,22,9,4,31.4,0.0,57.0,10.0,0,0,0,1,0,0,0
A-64292,3,Mostly Cloudy,Day,14,1,4,44.5,0.01,57.2,10.0,0,0,0,0,0,0,0
A-14532,2,Clear,Night,1,11,2,44.5,0.01,48.0,10.0,0,0,0,0,0,0,0
A-17934,3,Partly Cloudy,Day,9,11,0,29.716666666666665,0.01,57.0,10.0,0,0,0,1,0,0,0
A-33609,2,Clear,Day,19,4,3,45.0,0.0,64.9,10.0,0,0,0,1,0,0,0
A-49960,2,Clear,Night,23,7,1,45.0,0.0,72.0,10.0,0,0,0,0,0,0,0
A-66600,3,Mostly Cloudy,Day,11,10,0,34.4,0.01,66.9,4.0,0,0,0,0,0,0,0
A-99096,3,Mostly Cloudy,Day,8,4,4,62.03333333333333,0.0,59.0,10.0,0,0,0,0,0,0,0
A-34452,3,Partly Cloudy,Day,12,4,2,30.0,0.01,63.0,10.0,0,0,0,1,0,0,0
A-34081,3,Overcast,Day,10,4,0,30.0,0.01,62.1,10.0,0,0,0,0,0,0,0
A-63588,3,Clear,Day,14,1,2,44.35,0.01,57.0,10.0,0,0,0,0,0,0,0
A-4294,2,Clear,Day,14,7,1,30.0,0.0,71.1,10.0,0,0,0,0,0,0,0
A-69104,2,Clear,Day,16,11,3,44.71666666666667,0.0,81.0,10.0,0,0,0,0,0,0,0
A-86418,2,Clear,Day,16,8,3,45.0,0.0,77.0,10.0,0,0,0,0,0,0,0
A-99483,2,Clear,Night,22,4,5,30.0,0.0,50.0,10.0,0,0,0,0,0,0,1
A-53930,2,Clear,Day,12,12,6,44.416666666666664,0.01,71.1,10.0,0,0,0,0,0,0,0
A-87077,3,Fair,Night,23,8,4,45.0,0.0,68.0,10.0,0,0,0,0,0,0,0
A-65085,3,Clear,Day,8,1,1,39.36666666666667,0.01,42.8,10.0,0,0,0,0,0,0,0
A-30713,3,Clear,Night,20,9,3,36.78333333333333,0.0,63.0,10.0,0,0,0,0,0,0,0
A-49183,3,Clear,Day,17,7,4,45.0,0.0,80.1,10.0,0,0,0,1,0,0,0
A-57235,2,Fair,Night,2,12,5,44.75,0.01,47.0,10.0,0,0,0,0,0,0,0
A-15664,3,Clear,Day,8,11,1,29.583333333333332,0.01,59.0,10.0,0,0,0,0,0,0,0
A-19967,3,Clear,Day,11,9,2,30.0,0.0,73.0,10.0,0,0,0,0,0,0,0
A-91919,3,Clear,Day,18,8,1,45.0,0.0,75.0,10.0,0,0,0,0,0,0,0
A-91964,3,Clear,Night,20,8,1,45.0,0.0,71.1,10.0,0,0,0,0,0,0,1
A-81353,3,Partly Cloudy,Day,9,10,1,35.8,0.0,69.8,10.0,0,0,0,0,0,0,0
A-55326,2,Mostly Cloudy,Night,22,12,4,44.68333333333333,0.01,57.0,3.0,0,0,0,0,0,0,0
A-29858,2,Clear,Day,17,9,5,30.0,0.0,71.6,10.0,0,0,0,0,0,0,0
A-71229,3,Clear,Day,13,11,4,29.183333333333334,0.01,78.1,10.0,0,0,0,0,0,0,0
A-52459,2,Clear,Day,18,7,4,45.0,0.0,90.0,10.0,0,0,0,0,0,0,0
A-88352,2,Partly Cloudy,Night,20,8,2,45.0,0.0,69.1,10.0,0,0,0,1,0,0,0
A-82370,3,Clear,Day,17,10,4,44.53333333333333,0.0,80.1,10.0,0,0,0,0,0,0,0
A-65351,3,Clear,Day,9,1,2,29.616666666666667,0.01,50.0,10.0,0,0,0,0,0,0,0
A-59650,3,Scattered Clouds,Night,20,12,3,44.75,0.01,59.0,7.0,0,0,0,0,0,0,0
A-44953,3,Clear,Day,12,6,1,45.0,0.0,87.1,10.0,0,0,0,0,0,0,0
A-39526,2,Scattered Clouds,Night,3,5,6,45.0,0.01,53.6,10.0,0,0,0,0,0,0,0
A-13936,2,Clear,Night,18,10,5,44.333333333333336,0.01,64.0,8.0,0,0,0,0,0,0,0
A-93787,2,Clear,Day,17,8,1,45.0,0.0,91.9,10.0,0,0,0,0,0,0,0
A-89891,3,Clear,Night,20,8,0,45.0,0.0,81.0,10.0,0,0,0,0,0,0,0
A-81150,2,Clear,Day,11,10,0,29.6,0.0,73.0,10.0,0,0,0,0,0,0,1
A-95806,3,Mostly Cloudy,Night,21,9,1,45.0,0.0,68.0,9.0,0,0,0,0,0,0,0
A-89411,3,Clear,Night,19,8,5,30.0,0.0,70.0,10.0,0,0,0,0,0,0,0
A-55224,3,Overcast,Night,16,12,4,44.43333333333333,0.01,60.1,10.0,0,0,0,0,0,0,0
A-73652,2,Light Rain,Night,17,11,6,29.733333333333334,0.01,57.0,3.0,0,0,0,0,0,0,0
A-66295,3,Clear,Night,20,10,5,29.7,0.01,71.6,10.0,0,0,0,0,0,0,0
A-65541,3,Clear,Night,22,1,2,44.61666666666667,0.01,36.0,1.5,0,0,0,0,0,0,0
A-28111,3,Clear,Night,22,8,5,30.0,0.0,63.0,10.0,0,0,0,0,0,0,0
A-41929,3,Clear,Day,16,6,5,90.0,0.0,87.1,10.0,0,0,0,0,0,0,0
A-86553,3,Overcast,Night,20,8,3,45.0,0.0,71.1,10.0,0,0,0,1,0,0,0
A-82592,2,Clear,Day,17,10,5,59.78333333333333,0.0,87.1,10.0,0,0,0,0,0,0,0
A-38604,3,Clear,Day,18,5,0,30.0,0.01,73.9,10.0,0,0,0,0,0,0,0
A-91664,2,Clear,Day,18,8,0,45.0,0.0,80.6,10.0,0,0,0,0,0,0,0
A-62787,2,Clear,Night,5,1,5,59.45,0.01,44.1,,0,0,0,0,0,0,0
A-84347,3,Mostly Cloudy,Night,22,10,6,29.6,0.01,62.6,10.0,0,0,0,0,0,0,0
A-39875,2,Overcast,Day,10,5,2,30.0,0.01,59.0,10.0,0,0,0,0,0,0,0
A-78475,3,Mostly Cloudy,Day,17,9,1,44.2,0.0,80.1,10.0,0,0,0,0,0,0,0
A-31632,2,Scattered Clouds,Day,13,3,5,58.61666666666667,0.01,68.0,10.0,0,0,0,0,0,0,0
A-14953,3,Partly Cloudy,Night,23,11,3,43.583333333333336,0.01,55.9,10.0,0,0,0,0,0,0,0
A-39332,2,Heavy Rain,Day,19,5,4,75.0,0.0,55.9,3.0,0,0,0,0,0,0,0
A-48588,3,Clear,Day,19,7,2,47.81666666666667,0.0,78.1,10.0,0,0,0,0,0,0,0
A-83601,3,Haze,Day,10,10,3,33.31666666666667,0.01,68.5,6.0,0,0,0,0,0,0,0
A-41488,3,Mostly Cloudy,Day,14,6,1,30.0,0.01,70.0,10.0,0,0,0,1,0,0,0
A-39628,2,Scattered Clouds,Day,10,5,0,30.0,0.01,62.1,10.0,0,0,0,0,0,0,0
A-87901,3,Clear,Day,17,8,1,45.0,0.0,75.9,10.0,0,0,0,0,0,0,0
A-26304,3,Clear,Day,12,8,0,45.0,0.0,82.0,10.0,0,0,0,0,0,0,0
A-67405,2,Clear,Night,0,10,3,44.7,0.01,57.9,10.0,0,0,0,0,0,0,0
A-98091,2,Overcast,Night,23,3,6,30.0,0.01,59.0,10.0,0,0,0,0,0,0,0
A-95608,3,Clear,Day,12,9,1,33.86666666666667,0.0,75.2,10.0,0,0,0,1,0,0,0
A-5020,2,Clear,Day,15,8,0,75.0,0.0,93.2,10.0,0,0,0,0,0,0,0
A-5224,2,Clear,Night,17,12,3,29.333333333333332,0.01,53.1,10.0,0,0,1,0,0,0,1
A-15781,2,Clear,Day,13,11,1,28.833333333333332,0.01,73.4,10.0,0,0,0,0,0,0,0
A-45557,3,Clear,Day,13,6,3,60.0,0.0,75.0,10.0,0,0,0,0,0,0,0
A-34305,2,Overcast,Day,13,4,1,30.0,0.0,61.0,10.0,0,0,0,0,0,0,0
A-93329,2,Clear,Day,11,8,0,40.28333333333333,0.0,81.0,9.0,0,0,0,0,0,0,0
A-5325,2,Clear,Day,11,12,4,29.6,0.01,61.0,10.0,0,0,0,0,0,0,0
A-52926,3,Clear,Day,11,8,0,35.35,0.0,84.2,10.0,0,0,0,0,0,0,0
A-62865,3,Clear,Day,14,1,5,44.55,0.01,64.4,10.0,0,0,0,0,0,0,0
A-8019,3,Mostly Cloudy,Day,10,12,2,29.6,0.01,59.0,10.0,0,0,0,0,0,0,0
A-82951,3,Overcast,Day,10,10,1,39.03333333333333,0.0,66.0,9.0,0,0,0,0,0,0,0
A-90383,2,Clear,Day,11,8,2,34.483333333333334,0.0,84.9,10.0,0,0,0,0,0,0,0
A-41721,2,Clear,Day,14,6,3,60.0,0.0,80.6,10.0,0,0,0,0,0,0,1
A-867,3,Clear,Day,11,6,2,30.0,0.0,69.1,10.0,0,0,0,0,0,0,0
A-83046,2,Clear,Day,14,10,1,44.3,0.0,69.1,10.0,0,0,1,0,0,0,1
A-13925,2,Light Rain,Night,20,10,3,28.766666666666666,0.01,59.0,3.0,0,0,0,0,0,0,0
A-79899,2,Clear,Day,11,9,1,44.65,0.0,90.0,10.0,0,0,0,0,0,0,0
A-31184,2,Clear,Day,12,3,2,45.0,0.0,59.0,10.0,0,0,1,0,0,0,0
A-40989,2,Mostly Cloudy,Day,11,6,4,30.0,0.01,89.1,10.0,0,0,0,1,0,0,0
A-66735,3,Mostly Cloudy,Day,17,10,0,44.6,0.01,71.6,10.0,0,0,0,0,0,0,0
A-78337,2,Clear,Night,3,9,1,30.0,0.0,72.0,10.0,0,0,0,0,0,0,0
A-24379,2,Mostly Cloudy,Day,9,10,4,29.183333333333334,0.01,66.9,10.0,0,0,0,0,0,0,0
A-23415,2,Clear,Day,12,10,3,59.6,0.0,75.9,10.0,0,0,0,0,0,0,0
A-97566,2,Clear,Day,16,3,3,30.0,0.0,87.1,10.0,0,0,0,0,0,1,0
A-22993,3,Scattered Clouds,Night,1,10,1,44.233333333333334,0.0,62.1,10.0,0,0,0,0,0,0,0
A-3232,3,Clear,Day,19,7,4,75.0,0.0,87.1,10.0,0,0,0,0,0,0,0
A-41996,3,Partly Cloudy,Night,23,6,5,60.0,0.0,66.0,10.0,0,0,0,1,0,0,0
A-49188,2,Clear,Day,17,7,4,45.0,0.0,84.2,10.0,0,0,0,0,0,0,0
A-22515,2,Clear,Night,19,9,3,29.083333333333332,0.0,73.4,10.0,0,0,0,0,0,0,1
A-21326,2,Clear,Day,14,9,2,29.75,0.0,69.1,10.0,0,0,0,1,0,0,0
A-86240,2,Clear,Day,12,8,2,35.333333333333336,0.0,82.0,10.0,0,0,1,0,1,0,0
A-88133,3,Partly Cloudy,Day,11,8,2,45.0,0.0,75.9,7.0,0,0,0,0,0,0,0
A-29824,3,Clear,Night,3,9,5,45.0,0.0,57.0,10.0,0,0,0,0,0,0,0
A-92491,3,Clear,Day,18,8,3,45.0,0.0,70.0,10.0,0,0,0,1,0,0,0
A-68426,2,Clear,Night,18,11,1,44.53333333333333,0.01,63.0,10.0,0,0,0,0,0,0,0
A-64485,2,Clear,Night,4,1,5,29.833333333333332,0.01,44.6,10.0,0,0,0,0,0,0,1
A-51020,2,Smoke,Day,17,7,5,30.0,0.0,86.0,10.0,0,0,0,0,0,0,0
A-26754,2,Clear,Day,10,8,3,30.0,0.0,62.6,10.0,0,0,0,1,0,0,0
A-49964,2,Clear,Night,23,7,1,45.0,0.0,70.0,10.0,0,0,0,0,0,0,0
A-42732,2,Clear,Day,17,6,6,30.0,0.0,89.6,10.0,0,0,0,0,0,0,0
A-29057,3,Overcast,Day,8,8,0,45.0,0.0,57.9,10.0,0,0,0,1,0,0,0
A-55318,3,Overcast,Night,21,12,4,44.55,0.01,60.1,10.0,0,0,0,1,1,0,0
A-35497,2,Scattered Clouds,Day,9,4,3,60.0,0.01,68.0,10.0,0,0,0,0,0,0,0
A-56338,2,Clear,Night,17,12,2,29.6,0.0,57.7,10.0,0,0,0,0,0,0,0
A-79284,3,Clear,Night,21,9,4,43.233333333333334,0.0,64.4,10.0,0,0,0,0,0,0,0
A-5465,2,Clear,Day,12,12,5,29.85,0.0,57.9,8.0,0,0,0,0,0,0,0
A-70162,3,Haze,Day,9,11,1,33.85,0.01,75.0,5.0,0,0,0,0,0,0,0
A-70676,3,Clear,Night,21,11,2,44.71666666666667,0.01,73.9,10.0,0,0,0,0,0,0,1
A-56014,3,Clear,Day,15,12,1,29.466666666666665,0.01,64.9,7.0,0,0,0,0,0,0,0
A-12086,2,Light Rain,Night,3,1,5,44.68333333333333,0.01,48.0,10.0,0,0,0,0,0,0,0
A-56819,2,Heavy Rain,Night,4,12,4,44.483333333333334,0.01,55.0,1.8,0,0,0,0,0,0,0
A-20001,2,Clear,Day,13,9,2,30.0,0.0,73.0,10.0,0,0,0,0,0,0,0
A-69068,3,Clear,Day,13,11,3,44.65,0.01,89.1,10.0,0,0,0,0,0,0,0
A-50453,2,Clear,Day,18,7,3,45.0,0.0,96.4,10.0,0,0,0,0,0,0,1
A-90716,3,Clear,Day,12,8,3,40.81666666666667,0.0,86.0,10.0,0,0,0,0,0,0,0
A-52885,2,Clear,Day,9,8,0,38.55,0.0,79.0,10.0,0,0,0,0,0,0,0
A-30964,2,Clear,Night,22,9,4,60.0,0.0,63.0,10.0,0,0,0,0,0,0,0
A-34574,2,Partly Cloudy,Night,0,4,3,60.0,0.01,50.0,10.0,1,0,1,0,0,0,1
A-15295,3,Mostly Cloudy,Night,18,11,5,59.7,0.01,64.9,10.0,0,0,0,0,0,0,0
A-27919,2,Clear,Night,23,8,3,45.0,0.0,77.0,10.0,0,0,0,0,0,0,1
A-46121,2,Overcast,Night,5,7,0,46.03333333333333,0.0,64.0,10.0,0,0,0,0,0,0,0
A-35074,3,Clear,Day,10,4,1,30.0,0.01,70.0,10.0,0,0,0,1,0,0,0
A-91134,2,Clear,Night,3,8,5,60.0,0.0,64.2,10.0,0,0,0,0,0,0,0
A-691,2,Clear,Night,7,3,3,30.0,0.01,46.8,10.0,0,0,1,0,0,0,1
A-77736,2,Clear,Night,19,9,4,45.0,0.0,69.1,10.0,0,0,0,0,0,0,0
A-36097,3,Clear,Day,19,4,0,75.0,0.01,64.4,10.0,0,0,0,0,0,0,0
A-65353,2,Clear,Day,10,1,2,29.633333333333333,0.01,51.1,10.0,0,0,0,0,0,0,0
A-11041,2,Clear,Day,15,1,4,29.7,0.01,59.0,10.0,0,0,0,1,0,0,0
A-4222,3,Clear,Night,3,7,1,45.0,0.0,62.1,10.0,0,0,1,0,0,0,1
A-822,2,Clear,Night,22,6,1,30.0,0.0,72.0,10.0,0,0,0,0,0,0,0
A-38129,2,Partly Cloudy,Day,10,5,2,90.0,0.01,62.1,10.0,0,0,0,0,0,1,0
A-89158,2,Partly Cloudy,Night,19,8,4,45.0,0.0,84.2,7.0,0,0,0,0,0,0,0
A-29232,3,Partly Cloudy,Day,10,8,1,45.0,0.0,66.9,10.0,0,0,0,1,0,0,0
A-50557,3,Clear,Night,5,7,4,37.266666666666666,0.0,73.0,10.0,0,0,0,0,0,0,0
A-33685,2,Mostly Cloudy,Day,8,4,4,30.0,0.0,57.0,8.0,0,0,0,0,0,0,0
A-58754,2,Mostly Cloudy,Night,17,12,4,44.8,0.01,55.0,10.0,0,0,0,0,0,0,0
A-27023,2,Clear,Day,18,8,4,45.0,0.0,73.4,10.0,0,0,0,0,0,0,0
A-36906,2,Clear,Night,0,4,5,30.0,0.0,55.9,10.0,0,0,0,0,0,0,0
A-271,2,Clear,Day,17,2,3,45.0,0.01,36.0,10.0,0,0,0,0,0,0,0
A-8867,3,Clear,Night,19,12,2,29.5,0.01,44.1,10.0,0,0,0,0,0,0,0
A-15007,2,Clear,Day,11,11,4,29.733333333333334,0.01,64.0,10.0,0,0,0,1,0,0,0
A-4689,3,Clear,Day,11,7,4,45.333333333333336,0.0,84.2,9.0,0,0,0,0,0,0,0
A-82002,3,Clear,Day,12,10,3,33.35,0.0,78.1,10.0,0,0,0,0,0,0,0
A-84379,3,Light Rain,Night,4,10,0,44.6,0.01,63.0,2.5,0,0,0,0,0,0,0
A-2515,3,Clear,Day,13,7,4,75.0,0.0,75.0,10.0,0,0,0,0,0,0,0
A-36400,2,Overcast,Day,11,4,2,45.0,0.01,59.0,8.0,0,0,0,0,0,0,0
A-38869,2,Clear,Day,10,5,2,30.0,0.0,77.0,10.0,0,0,0,0,0,0,0
A-58245,2,Light Rain,Night,1,12,3,44.65,0.01,57.0,8.0,0,0,0,0,0,0,0
A-30410,2,Clear,Day,16,9,2,75.0,0.0,97.0,10.0,0,0,1,0,0,0,1
A-54795,3,Clear,Night,4,12,3,118.13333333333334,0.01,50.0,10.0,0,0,0,0,0,0,0
A-19264,2,Partly Cloudy,Day,11,11,1,29.083333333333332,0.01,57.9,10.0,0,0,0,0,0,0,0
A-83916,3,Haze,Day,11,10,4,35.4,0.01,69.1,4.0,0,0,0,0,0,0,0
A-26974,3,Clear,Day,13,8,4,30.0,0.0,69.1,10.0,0,0,0,1,0,0,0
A-7130,2,Mostly Cloudy,Day,16,12,2,29.6,0.0,64.0,10.0,0,0,0,0,0,1,0
A-7145,2,Haze,Night,18,12,2,29.516666666666666,0.01,57.2,6.0,0,0,0,0,0,0,0
A-45466,3,Clear,Night,22,6,2,45.0,0.0,80.6,10.0,0,0,0,0,0,0,0
A-1967,2,Clear,Day,7,7,6,60.0,0.0,62.1,10.0,0,0,0,0,0,0,0
A-15153,3,Clear,Night,20,11,4,29.05,0.01,61.0,10.0,0,0,0,0,0,0,0
A-19114,2,Mostly Cloudy,Day,14,11,0,29.7,0.01,60.1,10.0,0,0,0,0,0,0,0
A-76213,3,Clear,Day,10,11,2,29.616666666666667,0.01,66.9,10.0,0,0,0,0,0,0,0
A-32142,3,Clear,Day,11,3,2,30.0,0.0,64.0,10.0,0,0,0,0,0,0,0
A-21935,2,Clear,Day,10,9,0,44.7,0.0,77.0,10.0,0,0,0,0,0,1,0
A-40360,3,Clear,Day,18,5,5,30.0,0.01,73.9,10.0,0,0,0,0,0,0,0
A-53842,3,Clear,Night,1,12,6,44.666666666666664,0.01,48.0,10.0,0,0,0,0,0,0,0
A-9163,3,Mostly Cloudy,Day,9,12,5,29.016666666666666,0.01,48.9,10.0,0,0,0,0,0,0,0
A-87850,3,Clear,Day,14,8,1,45.0,0.0,84.2,10.0,0,0,0,0,0,0,0
A-37630,3,Mostly Cloudy,Day,19,5,3,45.0,0.01,62.6,10.0,0,0,0,0,0,0,0
A-83311,3,Overcast,Day,11,10,2,29.483333333333334,0.01,69.1,10.0,0,0,0,0,0,0,0
A-66271,3,Clear,Day,17,10,5,29.633333333333333,0.01,84.2,10.0,0,0,0,0,0,0,0
A-34654,3,Mostly Cloudy,Day,12,4,3,30.0,0.01,61.0,10.0,0,0,0,1,0,0,0
A-41963,2,Scattered Clouds,Day,19,6,5,60.0,0.0,73.0,10.0,0,0,0,0,0,0,0
A-39591,2,Partly Cloudy,Day,20,5,6,30.0,0.01,61.0,10.0,0,0,0,0,0,0,0
A-81042,2,Partly Cloudy,Day,16,10,6,29.683333333333334,0.0,72.0,10.0,0,0,0,0,0,1,0
A-10981,2,Clear,Day,8,1,4,45.03333333333333,0.01,39.9,10.0,0,0,1,0,1,0,0
A-56300,3,Haze,Day,14,12,2,29.65,0.01,69.1,4.0,0,0,0,0,0,0,0
A-61549,3,Overcast,Night,20,1,0,44.13333333333333,0.01,50.0,7.0,0,0,0,0,0,0,0
A-88407,3,Mostly Cloudy,Night,22,8,2,45.0,0.0,66.9,10.0,0,0,0,0,0,0,0
A-44324,2,Clear,Day,14,6,5,90.0,0.0,86.0,10.0,0,0,0,0,0,0,0
A-55208,2,Clear,Day,15,12,4,44.6,0.01,64.0,10.0,0,0,0,0,0,0,0
A-53528,3,Widespread Dust,Day,9,12,4,38.1,0.01,57.0,10.0,0,0,0,0,0,0,0
A-26971,3,Clear,Day,12,8,4,30.0,0.0,87.8,8.0,0,0,0,0,0,0,0
A-73224,3,Clear,Day,12,11,4,32.96666666666667,0.01,75.9,10.0,0,0,1,0,0,0,0
